jahrgangsstufe,fragenText,richtigeAntwort,falscheAntwort1,falscheAntwort2,falscheAntwort3,schwierigkeit,erstellt von
7,Welche Wörter stecken hinter der Abkürzung HTTP?,Hypertext Transfer Protocol,Hypertext Transfer Pipeline,Hypertext Transmission Protocol,Helpertext Transfer Protocol,3,Josef
7,Welche der aufgeführten IP-Adressen ist valide?,205.13.0.4,256.13.0.4,205.13.0,265.13.0.4,5,Josef
7,Welcher HTML-Code stellt einen validen Link dar?,"<a href=""index.html"">Link</a>","<a link=""index.html"">Link</a>","<a url=""index.html"">Link</a>","<a src=""index.html"">Link</a>",5,Josef
7,"Wie nennt man Editoren für Hypertextdokumente, die eine Vorschau des HTML-Codes ermöglichen?",WYSIWYG-Editoren,WYSIWYW-Editoren,WVSIWYG-Editoren,WUSIWYG-Editoren,4,Josef
7,Welcher HTML-Tag existiert nicht?,<underline></underline>,<b></b>,<strong></strong>,<u></u>,4,Josef
7,Wie nennt man das Gesetz das regelt wie Firmen und öffentliche Einrichtungen mit personenbezogenen Daten umzugehen haben.,DSGVO,DGSVO,DSGUO,DSBVO,3,Josef
7,Mit einem Methodenaufruf ...,... gibt man einem Objekt Anweisungen. ,... ruft man die Programmierungumgebung auf.,... liest man die Liste aller Methoden aus.,... startet man die Sprachausgabe.,2,Josef
7,Was ist ein Struktogramm?,Eine grafische Darstellung eines Programmentwurfs.,Ein gut strukturiertes Computerprogramm.,Eine Software zum Zeitmanagement.,Eine grafische Programmiersprache.,1,Josef
7,"Die Verbindung von Knoten in einem Graphen nennt man ...",Kante,Seil,Glied,Line,1,Josef
7,"Wie nennt die Beziehung, wenn zwei Objekte der gleichen Klasse in Beziehung stehen?",rekursive Beziehung,repetetive Beziehung,reflexive Beziehung,relationale Beziehung,2,Josef
6,Welche Definition trifft in Informatik für den Begriff Klasse zu? ,ein Bauplan für Objekte gleicher Art ,die Eigenschaft eines Objekts ,"eine Gruppe, zu der alle Objekte gehören ",eine Ansammlung von Methoden,1,Michi
6,Welche Attribute gehören nicht zur Klasse FOLIE? ,EinzugLinks,Füllfarbe,Anzeigedauer,Folienübergang,2,Michi
6,"Was ändert sich im Wort ""lassen"", nachdem die Methode Z3.SchriftgroesseSetzen(8) ausgeführt worden ist?",Das erste s hat die Schriftgröße 8. ,Das ss hat die Schriftgröße 8. ,Die Zeile mit dem Wort hat die Schriftgröße 8. ,"Nichts, weil der Attributwert unzulässig ist.",3,Michi
6,Wie wird bei Objektdiagrammen die Enthält-Beziehung zwischen zwei Objekten dargestellt?,Kante,Wurzel,Knoten,Blatt,2,Michi
6,Bei welcher Beziehung handelt es sich nicht um eine Enthält-Beziehung?,Teller – Messer – Gabel,Pixelgrafikdokument – Pixel ,Mensch – Kopf – Auge – Haar ,Buch – Seite ,4,Michi
6,Welches der folgenden Attribute gehört zur Klasse ABSATZ? ,Ausrichtung,Schriftart,Fett,Hochgestellt,1,Michi
6,Wie sieht folgende Aussage in informatischer Punktschreibweise aus? „Das Objekt mit dem Bezeichner Fenster ist blau.“ ,Fenster.Farbe = blau ,Rechteck.Fenster = blau ,Fenster.Farbe(blau) ,FENSTER.Farbe = blau,5,Michi
6,Welche informatische Kurzschreibweise ist für folgende Aussage die richtige? „Das Objekt Schüler1 gehört der Klasse SCHÜLER an.“ ,Schüler1:SCHÜLER ,Schüler:Schüler ,SCHÜLER1:Schüler ,SCHÜLER1:SCHÜLER,3,Michi
6,Welche Übersetzung folgender Aussage in die Punktschreibweise ist korrekt? „Der Radius des Balls wird auf 2 cm festgelegt.“ ,Ball.RadiusSetzen(2 cm),Radius.Ball = 2 cm ,Radius(2 cm):BALL ,Ball.Radius = 2 cm ,5,Michi
6,Wie viele Attribute hat ein Objekt der Klasse Pixel? ,1,3,5,7,4,Michi
